PlanId;Plannavn;Plantype;PlantypeId;Planstatus;PlanstatusId;IKraft;Lovreferanse;LovreferanseId;Vertikalnivå;VertikalnivåId;PlanBestemmelse;PlanBestemmelseId
201107;Greipstad kirke;Detaljregulering;35;Endelig vedtatt arealplan;3;13.02.2013;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201108;Nordre Kalsnes;Detaljregulering;35;Endelig vedtatt arealplan;3;26.10.2017;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201109;Greipstad kirke til Mebakken - fortau;Detaljregulering;35;Endelig vedtatt arealplan;3;26.09.2012;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201110;Kilen -  barnehage og boligfelt;Detaljregulering;35;Endelig vedtatt arealplan;3;31.05.2012;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201201;Knibe;Detaljregulering;35;Endelig vedtatt arealplan;3;26.04.2012;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201202;Fagermoen til Rismyr - gang- og sykkelveg;Detaljregulering;35;Endelig vedtatt arealplan;3;12.02.2014;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201204;Nodeland Syd;Områderegulering;34;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201205;Haugenparken;Detaljregulering;35;Endelig vedtatt arealplan;3;27.04.2011;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201206;Torvmoen - busslomme;Detaljregulering;35;Endelig vedtatt arealplan;3;11.10.2012;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201208;Mindre reguleringsendring av reguleringsplan for Riveneset;Mindre reguleringsendring;31;Endelig vedtatt arealplan;3;09.07.2013;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201209;Ausviga;Områderegulering;34;Endelig vedtatt arealplan;3;17.12.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201210;Lohneveien 66;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201211;Paradisbukta øst;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201212;Del av Lunde sentrum;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201214;Langenes brygge;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201215;Branesveien 100;Detaljregulering;35;Endelig vedtatt arealplan;3;19.02.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201216;Konvalldalen - del av;Detaljregulering;35;Endelig vedtatt arealplan;3;22.09.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201217;Gamle Lundevei øst;Detaljregulering;35;Endelig vedtatt arealplan;3;25.09.2014;Plan- og bygningsloven av 2008;6;Under grunnen (tunnel), På grunnen/vannoverflaten;1, 2;Planbestemmelser både på kart og som egen tekst;4
201218;Kossevigheia 2;Detaljregulering;35;Endelig vedtatt arealplan;3;27.09.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201219;Kjellandsheia syd;Områderegulering;34;Endelig vedtatt arealplan;3;17.12.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201220;Leireheia;Områderegulering;34;Endelig vedtatt arealplan;3;22.03.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201221;Mindre reguleringsendring av reguleringsplan for Søvik-Nodenes;Mindre reguleringsendring;31;Utgått/erstattet;5;02.05.2012;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Uten bestemmelser;2
201222;Kommunedelplan for sykkel;Kommunedelplan;21;Utgått/erstattet;5;24.09.2015;Plan- og bygningsloven av 2008;6;;;Planbestemmelser både på kart og som egen tekst;4
201301;Gamle kirkeveg 35;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201302;Nodenesveien-Pålsnesveien - del av;Detaljregulering;35;Endelig vedtatt arealplan;3;19.06.2014;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201303;Rosselandsvegen 47;Detaljregulering;35;Endelig vedtatt arealplan;3;15.03.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201401;Mjåvann III;Områderegulering;34;Utgått/erstattet;5;28.09.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201402;Skarveien vest;Detaljregulering;35;Endelig vedtatt arealplan;3;24.09.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201403;Årossanden 5 og 7;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201404;Nodeland Syd, delfelt 1 og barnehage;Detaljregulering;35;Endelig vedtatt arealplan;3;15.03.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201405;Kommunedelplan for Tangvall;Kommunedelplan;21;Endelig vedtatt arealplan;3;26.05.2016;Plan- og bygningsloven av 2008;6;;;Med bestemmelser som egen tekst;1
201406;Ytre Ringveg - Songdalen;Kommunedelplan;21;Utgått/erstattet;5;16.03.2016;Plan- og bygningsloven av 2008;6;;;Planbestemmelser fremgår av kartet (byggehøyder m.v.);3
201407;Songdalsveien 750;Detaljregulering;35;Endelig vedtatt arealplan;3;27.04.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201408;Moseheia øst;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201410;Flatholmen;Detaljregulering;35;Endelig vedtatt arealplan;3;17.12.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201411;Blåsmoen 20 og 20B;Detaljregulering;35;Endelig vedtatt arealplan;3;28.05.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
